V = 365, E = 357
out_asc_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('266', '322'), ('40', '428'), ('280', '401')]
out_desc_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('322', '121'), ('233', '40'), ('410', '158')]
in_asc_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('322', '121'), ('233', '40'), ('410', '158')]
in_desc_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('266', '322'), ('40', '428'), ('280', '401')]
random_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('121', '332'), ('40', '428'), ('392', '433')]
greedy1_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('121', '332'), ('40', '428'), ('392', '433')]
greedy2_forward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('121', '332'), ('40', '428'), ('392', '433')]
out_asc_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('283', '266'), ('233', '40'), ('158', '280')]
out_desc_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('266', '322'), ('428', '233'), ('385', '410')]
in_asc_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('266', '322'), ('428', '233'), ('385', '410')]
in_desc_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('283', '266'), ('233', '40'), ('158', '280')]
random_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('322', '121'), ('233', '40'), ('401', '392')]
greedy1_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('322', '121'), ('233', '40'), ('401', '392')]
greedy2_backward 6 [('284', '127'), ('300', '111'), ('288', '400'), ('322', '121'), ('233', '40'), ('401', '392')]
Execution time: 0.011822700500488281 ms
